I love the free breakfast and dinners on weeknights. The hotel is clean and nice rooms The pool needs some updating(but kids don't care) My friend and I took our granddaughters for a grandma grandaughter outing and this hotel was perfect ,pos
"I stayed at this hotel over the weekend of the Chicago Bears Fan Convention (Feb 27- March 1). The hotel is beautiful. I had a Towers room. I had a decent view of the city (Sears Tower). The room was a little small but had two bathrooms (1 King bed). The Tower room has it's own registration area and comes with a free continental breakfast, evening snacks and free sodas throughout the day. The registration/ lounge is on the 24th floor and overlooks Lake Michigan. The hotel was full but service was excellent. The location is convenient but there are a number of homeless people within a block or two (especially toward the El train). We loved our stay at this hotel and never had to take a cab or rent a car. I will stay here again. Hilton offered a Sunday night free on their website with a 3 day stay. This made the cost reasonable (for Chicago). However, the Pavilion restaurant left a lot to be desired. The pub on the first floor was a good place to hang out and have a drink. ",pos
"Great hotel in a wonderful location. I stayed in this hotel last weekend for one night before coming home and I loved it. I couldn't recommend it highly enough. Evidently popular and busy, the staff were still helpful. The rooms were lovely and spacious and clean. Bathrooms were clean, bright and spacious also. I'd definitely recommend this hotel too, it's close to the magnificant mile. ",pos
"Attended a wedding in Chicago; Sofitel is new, humming, very very modern (W hotel style - minimalist) and a great location. However, I miss the basics of a less trendy hotel. We checked in at 7 PM and our room wasn't ready - when they gave me a key the maid was still in the room making it up for me!!! I had to wait in the hallway .... On the weekend I came back for a nap at about 3:30 PM after vacating the room at 8:30 AM and it still wasn't made up. The housekeeping line was never answered so had to call front desk to get someone to make up my room. Also called housekeeping for a new hairdryer and they never brought me one....I gave up...This is a hot, youth hotel but for my next visit, I think I'd prefer some of the classic amenities likely timely housekeeping, a somewhat larger room that you can walk around, and a less trendy, hot, loud clientele. I'm over 40.",neg
"I recently stayed at the Sheraton for an onsite conference, and had problems from the getgo. I had problems with the check-in even though I had made arrangements beforehand to pay by company check and they have a credit card on file. The front desk clerks were kind of rude. The room was okay, not worth what I paid for. The sheets were kind of messed up and the room didn't feel very clean. They also charge for internet access, which is ridiculous. Most hotels provide free wi-fi. The conference food, which I assume is catered by the hotel, was not good at all. On the day of the check out, I had arranged for a late check-out, but in the morning before check-out time, someone else got assigned to my room and was attempting to get in! Then they locked me out of my room with my luggage still in there before my check out time. All in all, I would recommend staying somewhere else.",neg
"Upon check in - the lobby was BUSY! I was tired and not feeling well from a tough road show. The Front Desk person I checked in with was so fast and so nice that I walked away from the desk smiling... that alone was such a great feeling. Every time I had any experience with a hotel staff member, I was so pleased! I have to say - service really is everything to me and I have to give this top marks for that. An added bonus was the location... I just think it is perfect for me. On top of that, I had a meeting down in the loop, but not quite sure how to get there - a person approached me in the lobby, asked if he could help me get to my meeting. I thought he was getting me a taxi - but no - he walked me to his SUV and drove me to the meeting, ""just a free service from the hotel"" he stated as we drove... really!!!! so cool! I haven't even talked about the Pump Room yet - great dinner, very professional service, and no attitude. I will return - just up date the rooms a little bit, thats all... the curtains need some help. ",pos
"Stayed for 3 nights. booked via hotwire, upgraded to historic tower. Got a big room, with a nice view.Service was great. Valet parking was efficient, but you expect it for 53 doller/night. But the location was the best ",pos
"I was looking for a fun, contemporary hotel and it didn't deliver. The lobby was nice, and the rooms were mostly clean, but it really wasn't special. Service time was slow for room requests, I found empty water bottles under the chair, and the a",neg
"We stayed at the Hard Rock on January 27th, 2009 for $125/night. It is located on Michigan Ave, just two blocks from the Mag Mile, two blocks from Millenium Park, and five blocks from the Chicago Art Institute. Our hotel room was very nice with views of Michigan Ave and a unusually comfy bed. The hotel even offered free coffee in the lobby every morning and free wifi in the rooms. Parking was $45 for valet and $30 for self parking. The staff was very helpful with all of our request. ",pos
"We stayed for a one night getaway with family on a thursday. Triple AAA rate of 173 was a steal. 7th floor room complete with 44in plasma TV bose stereo, voss and evian water, and gorgeous bathroom(no tub but was fine for us) Concierge was very helpful. You cannot beat this location... Only flaw was breakfast was pricey and service was very very slow(2hours for four kids and four adults on a friday morning) even though there were only two other tables in the restaurant. Food was very good so it was worth the wait. I would return in a heartbeat. A gem in chicago... ",pos
